disasterNumber,zip_counts,totalDamage,validRegistrations,totalInspected,approvedForFemaAssistance,disasterLength
4675,1412,12376.91,10504,8,9,42 days
4676,54,20396035.86,8866,7882,6123,3 days
4677,92,3217123.83,7131,3124,1361,9 days
4680,203,7891033.0200000005,6896,3683,1953,23 days
4683,806,36333048.63,24863,15726,8434,35 days
4684,159,13317609.85,5208,3343,1828,0 days
4685,78,5205605.29,8540,3380,903,0 days
4697,96,31894945.95,7640,4303,3762,1 days
4698,74,12434443.45,9190,4501,3596,0 days
4699,590,30016695.01,17309,12314,7658,139 days
4701,95,9349961.4,1734,892,760,1 days
4704,179,8221476.829999999,2508,1324,282,1 days
4706,44,5421862.42,2183,1144,457,1 days
4707,48,1606584.03,529,447,255,19 days
4709,115,25464563.14,20556,14224,9642,2 days
4715,117,53678176.43,29421,24365,19932,7 days
4720,309,21204799.38,6082,4590,3616,14 days
4724,71,143456516.94,17451,11406,7134,53 days
4727,34,4440843.93,1281,962,712,5 days
4728,340,215100909.18,101713,93733,76437,3 days
4730,61,3756245.59,569,529,409,22 days
4734,548,80031358.1,73311,39256,36042,8 days
4738,55,4777325.46,9992,5129,1376,0 days
4749,304,32358901.39,23421,22007,16389,1 days
4751,93,4256581.09,4273,1940,2019,0 days
4753,55,1854307.74,1027,903,580,3 days
4754,162,6831733.4,2427,1617,1173,4 days
4756,88,2097324.72,613,553,325,2 days
4757,525,255285043.45,146788,138995,116760,2 days
4758,177,13791992.23,7607,6307,3235,2 days
4759,38,25228710.25,578,286,173,7 days
4763,2,326097.7,27,11,8,0 days
4764,300,2980061.73,2438,1337,824,4 days
4765,88,3136006.2199999997,1810,1596,1258,2 days
4766,99,5776770.85,3271,2943,2395,4 days
4776,151,13917180.61,3221,2282,1547,14 days
4777,104,8350137.350000001,1335,691,480,0 days
4778,61,8764123.56,955,424,282,2 days
4779,94,3793490.54,1110,487,361,1 days
4780,78,4927803.569999999,1417,1297,1091,2 days
4781,1172,205215636.06,269029,148785,98582,40 days
4782,131,5079002.29,1068,755,472,0 days
4783,209,8721420.88,2206,1498,1162,4 days
4784,118,9025247.23,1366,853,610,11 days
4787,123,2224697.34,693,629,400,1 days
4788,92,15222910.85,6255,3123,2267,3 days
4790,105,32235447.220000003,17218,13560,9744,3 days
4791,84,6649523.86,1855,1057,778,9 days
4794,21,6139297.67,8396,5150,3324,0 days
4795,152,22491390.689999998,3025,1324,668,64 days
4796,214,49880938.9,7637,6829,6040,37 days
4797,268,11781144.53,4061,3614,2968,18 days
4798,972,239375312.7,1082467,194023,706422,4 days
4803,94,4643820.93,1801,1162,779,8 days
4804,129,6200402.7,1444,921,632,6 days
4806,453,37442466.4,45390,27861,16007,26 days
4807,47,11540267.39,1403,1271,1117,22 days
4810,144,7159494.47,2258,1958,1623,2 days
4815,79,6840403.28,1161,961,802,1 days
4817,175,54382444.1,46387,31762,23375,3 days
4818,7,681532.16,89,84,80,2 days
4819,532,108416423.18,62782,54997,39873,3 days
4820,158,8023594.4799999995,2436,2032,1685,1 days
4821,84,6382296.22,7244,4679,2527,16 days
4823,3,2301489.0,21,21,17,16 days
4826,46,1418539.0999999999,314,280,222,2 days
4827,1210,252921541.56,273112,82158,143270,84 days
